rank,information__list_id,information__system,information__is_cloud,information__is_vendor,information__institution,information__storage_vendor,information__submission_date,information__storage_install_date,information__filesystem_type,information__filesystem_version,information__client_nodes,information__client_total_procs,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_volatile_memory_capacity,information__md_storage_type,information__md_storage_interface,information__md_network,information__ds_nodes,information__ds_storage_devices,information_net_ds_storage_devices,information__ds_volatile_memory_capacity,information__ds_storage_type,information__ds_storage_interface,information__ds_storage_price_gb,information__ds_storage_net_price_per_gb,information__ds_network,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__easy,io500__tot_iops,io500__bw,io500__md,io500__score
53,isc20,Polytechnic RSC Tornado,no,,SPbPU,RSC Group,7/13/2020,#N/A,Lustre,2.13.0,59,944,16,CentOS,7.7.1908,3.10.0-1062.1.1.el7.x86_64,4,2,187GB,NAND,NVMe,IB-FDR,55,2,110,187GB,NAND,NVMe,0.15,16.5,IB,124.8,194.97,2.98,2.98,188.81,735.71,134.52,88.86,304.47,380.5,64.77,146.54,155.88,21.56,191.73,64.29
54,isc20,Polytechnic RSC Tornado,no,,SPbPU,RSC Group,7/13/2020,#N/A,Lustre,2.13.0,59,944,16,CentOS,7.7.1908,3.10.0-1062.1.1.el7.x86_64,4,2,187GB,NAND,NVMe,IB-FDR,55,2,110,187GB,NAND,NVMe,0.15,16.5,IB,126.11,197.18,2.81,2.79,173.96,774.97,131.04,87.97,295.1,390.28,79.21,151.51,156.63,21,195.66,64.11
55,sc19,iFLYTEK,no,,iFLYTEK,Yanrong,11/5/2019,19-Sep,YRCloudFile,6,10,200,20,CentOS,7.4.1708,4.12.14,20,1,128GB,NAND,NVMe,IB-EDR,10,2,20,128GB,NAND,NVMe,0.15,3,IB-EDR,25.72,9.58,4.48,15.33,195.2,943.16,163.99,157.2,236.34,889.57,217.29,1268.88,191.48,11.41,358.87,63.98
56,sc19,AI400,no,,DDN,DDN,11/10/2019,#N/A,Lustre,2.12.58,10,240,24,CentOS,8.0.1905,4.18.0-80.el8.x86_64,2,0,64GB,NAND,NVMe,IB-EDR,2,12,24,64GB,NAND,NVMe,0.15,3.6,IB,28.62,41.72,2.96,42.19,152.84,451.97,132.76,79.65,172.59,449.93,75.15,810.42,159.38,19.65,207.63,63.88
57,isc20,AI400X,no,,DDN,DDN,7/13/2020,6/30/2020,Lustre,2.13.53,10,160,16,CentOS,8.1.1911,4.18.0-147.8.1.el8_1.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,2,10,20,3.84TB,NAND,NVMe,0.15,3,IB-EDR,36.72,45.5,2.57,23.34,150.4,451.93,140.7,87.25,155.17,457.3,73.09,1747.95,164.59,17.79,229.01,63.83
58,sc19,Data Accelerator,no,,University of Cambridge,Dell EMC,11/10/2019,5/1/2018,Lustre,2.13 (tip of master branch as of running),10,320,32,CentOS,7.7.1908,3.10.0-957.10.1.el7.x86_64,24,1,192GB,NAND,NVMe,Omnipath,24,12,288,192GB,NAND,NVMe,0.15,43.2,Omnipath,142.4,106.33,3.18,4.62,435.7,1184.27,129.62,29.81,59.01,65.4,10.74,7348.56,142.59,21.73,167.09,60.25
59,isc20,Officinalis,no,,#N/A,"Red Hat, Intel, QCT",7/13/2020,9/1/2019,CephFS,Master (02fc51de),8,256,32,CentOS,8.0.1905,4.18.0-147.6.el8.x86_64,8,8,384GB,NAND,NVMe,25GbE,8,8,64,384GB,NAND,NVMe,0.15,9.6,4x25GbE,57.87,70.89,11.32,14.08,108.68,501.63,116.08,9.87,139.25,127.89,36.33,1394.9,127.94,28.44,124.13,59.42
60,isc20,EC2-10xi3en.metal,yes,,Red Hat,Red Hat,7/13/2020,7/5/2020,CephFS,Master (e9cc7d86),10,320,32,Fedora,31,5.7.6-201.fc32.x86_64,10,8,768GB,NAND,NVMe,100GbE,10,8,80,768GB,NAND,NVMe,0.15,12,#N/A,36.26,75.62,9.14,19.08,191.98,903.11,123.45,17.19,87.51,97.4,18.81,965.79,124.75,26.29,124.3,57.17
61,isc20,Officinalis,no,,#N/A,"Red Hat, Intel, QCT",7/13/2020,9/1/2019,CephFS,Master (02fc51de),8,256,32,CentOS,8.0.1905,4.18.0-147.6.el8.x86_64,8,8,384GB,NAND,NVMe,25GbE,8,8,64,384GB,NAND,NVMe,0.15,9.6,4x25GbE,58.45,68.43,10.76,13.61,187.38,726.51,136.79,16.95,76.12,77.55,23.62,671.71,120.13,27.67,114.5,56.28
62,isc20,EC2-10xi3en.metal,yes,,Red Hat,Red Hat,7/13/2020,7/5/2020,CephFS,Master (e9cc7d86),10,320,32,Fedora,31,5.7.6-201.fc32.x86_64,10,8,768GB,NAND,NVMe,100GbE,10,8,80,768GB,NAND,NVMe,0.15,12,#N/A,30.76,55.01,11.91,21.55,189.58,917.71,121.26,20.63,68.94,119.17,11.52,938.67,119.82,25.67,118.42,55.13
63,isc20,Officinalis,no,,#N/A,"Red Hat, Intel, QCT",7/13/2020,9/1/2019,CephFS,Master (02fc51de),8,256,32,CentOS,8.0.1905,4.18.0-147.6.el8.x86_64,8,8,384GB,NAND,NVMe,25GbE,8,8,64,384GB,NAND,NVMe,0.15,9.6,4x25GbE,60.4,68.22,11.06,13.68,157.85,665.21,117.31,18.13,69.56,66.61,15.29,718.83,111.53,28.1,101.63,53.44
